ts,sclk_mhz,mclk_mhz,power_w,temp_c,use_pct,vram_used
1787422796,43,772,28.0,39.0,1,15210745856
1787422799,2402,1218,185.0,45.0,100,15196852224
1787422802,134,772,30.0,40.0,17,15213539328
1787422806,2384,1218,178.0,41.0,100,15212523520
1787422809,2384,1218,176.0,45.0,100,15210958848
1787422812,2320,1218,174.0,47.0,100,15194660864
1787422815,2414,1218,188.0,47.0,100,15217176576
1787422818,2418,1218,180.0,47.0,100,15210930176
1787422821,2323,1218,159.0,49.0,87,15194722304
1787422824,2390,1218,205.0,49.0,100,15209971712
1787422828,2383,1218,181.0,49.0,100,15209152512
1787422831,2388,1218,178.0,50.0,100,15190470656
1787422834,2423,1218,156.0,50.0,100,15200641024
1787422837,2378,1218,184.0,51.0,100,15185276928
1787422840,2325,1218,188.0,48.0,100,15184199680
1787422843,1814,1218,50.0,51.0,1,15185264640
1787422847,2282,1218,181.0,50.0,100,15182241792
1787422850,2368,1218,196.0,50.0,100,15168827392
1787422853,2388,1218,208.0,50.0,100,15170871296
1787422856,218,1218,50.0,48.0,1,15170760704
1787422859,2388,1218,176.0,51.0,100,15170732032
1787422862,2408,1218,180.0,51.0,100,15170732032
1787422865,2382,1218,185.0,51.0,100,15170732032
1787422869,2387,1218,180.0,51.0,100,15148658688
1787422872,2404,1218,179.0,51.0,100,15148658688
1787422875,2418,1218,155.0,51.0,100,15137112064
1787422878,2362,1218,178.0,51.0,100,15137112064
1787422881,2371,1218,181.0,51.0,100,15137112064
1787422884,2376,1218,182.0,51.0,100,15142961152
1787422887,2378,1218,198.0,51.0,98,15177244672
1787422891,2382,1218,203.0,51.0,100,15192662016
1787422894,2389,1218,178.0,51.0,100,15177973760
1787422897,2377,1218,180.0,51.0,100,15187255296
1787422900,2369,1218,181.0,51.0,100,15180288000
1787422903,2399,1218,181.0,51.0,100,15177306112
1787422906,2385,1218,184.0,51.0,100,15193980928
1787422909,2377,1218,184.0,51.0,100,15193985024
1787422913,2349,1218,187.0,48.0,74,15178940416
1787422916,105,1218,44.0,45.0,5,15208296448
1787422919,2405,1218,185.0,50.0,100,15179616256
1787422922,2355,1218,196.0,50.0,100,15183425536
1787422925,2349,1218,177.0,51.0,100,15194955776
1787422928,2390,1218,180.0,51.0,100,15243374592
1787422932,2388,1218,202.0,52.0,100,15243374592
1787422935,2399,1218,182.0,52.0,100,15235989504
1787422938,2416,1218,172.0,51.0,100,15254044672
1787422941,2393,1218,151.0,51.0,100,15235104768
1787422944,2389,1218,168.0,52.0,100,15205191680
1787422947,2424,1218,178.0,51.0,100,15203176448
1787422950,2384,1218,179.0,51.0,100,15207157760
1787422954,2402,1218,164.0,51.0,100,15195070464
1787422957,2387,1218,183.0,51.0,100,15203966976
1787422960,2428,1218,158.0,51.0,100,15205199872
1787422963,2430,1218,153.0,51.0,100,15206772736
1787422966,2379,1218,182.0,51.0,100,15203577856
1787422969,2392,1218,186.0,51.0,100,15203577856
1787422972,2434,1218,154.0,51.0,100,15225397248
1787422975,2382,1218,179.0,51.0,100,15208558592
1787422979,2322,1218,170.0,51.0,100,15211757568
1787422982,2390,1218,177.0,51.0,100,15204773888
1787422985,2387,1218,180.0,51.0,100,15204773888
1787422988,2312,1218,143.0,51.0,100,15204773888
1787422991,2414,1218,188.0,50.0,100,15207014400
1787422994,2254,1218,171.0,51.0,100,15209758720
1787422997,2207,1218,145.0,49.0,65,15209504768
1787423001,2363,1218,195.0,51.0,100,15206547456
1787423004,2367,1218,211.0,51.0,100,15220457472
1787423007,2314,1218,189.0,51.0,100,15218647040
1787423010,2390,1218,175.0,47.0,100,15239053312
1787423013,2392,1218,171.0,52.0,100,15239491584
1787423016,2395,1218,177.0,52.0,100,15212154880
1787423019,2384,1218,174.0,52.0,100,15210049536
1787423023,2347,1218,174.0,52.0,100,15207944192
1787423026,2366,1218,151.0,52.0,100,15207960576
1787423029,2384,1218,170.0,52.0,100,15209046016
1787423032,2382,1218,182.0,52.0,100,15254220800
1787423035,2380,1218,178.0,52.0,100,15319625728
1787423038,2394,1218,174.0,52.0,100,15333838848
1787423041,2383,1218,182.0,52.0,100,15281934336
1787423045,2429,1218,155.0,51.0,100,15281930240
1787423048,2436,1218,155.0,52.0,100,15281926144
1787423051,2387,1218,182.0,51.0,100,15281930240
1787423054,2444,1218,152.0,52.0,100,15291944960
1787423057,2393,1218,176.0,51.0,100,15283601408
1787423060,2412,1218,164.0,51.0,100,15279403008
1787423063,2438,1218,157.0,51.0,100,15279403008
1787423067,2427,1218,165.0,51.0,100,15302578176
