"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 1",1,21535,21535,163840,30,"void mul_mat_vec_q<(MType)18, 1, false, 1, false>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,80,0,128,"GRBM_GUI_ACTIVE",401347.000000,6547041240255,6547041371656
1,1,"Agent 1",1,21535,21535,163840,30,"void mul_mat_vec_q<(MType)18, 1, false, 1, false>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,80,0,128,"SQC_LDS_BANK_CONFLICT",0.00000000e+00,6547041240255,6547041371656
1,1,"Agent 1",1,21535,21535,163840,30,"void mul_mat_vec_q<(MType)18, 1, false, 1, false>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,80,0,128,"SQC_LDS_IDX_ACTIVE",51200.000000,6547041240255,6547041371656
1,1,"Agent 1",1,21535,21535,163840,30,"void mul_mat_vec_q<(MType)18, 1, false, 1, false>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,80,0,128,"SQ_INSTS_LDS",25600.000000,6547041240255,6547041371656
1,1,"Agent 1",1,21535,21535,163840,30,"void mul_mat_vec_q<(MType)18, 1, false, 1, false>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,80,0,128,"SQ_INST_CYCLES_VMEM",1807360.000000,6547041240255,6547041371656
1,1,"Agent 1",1,21535,21535,163840,30,"void mul_mat_vec_q<(MType)18, 1, false, 1, false>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,80,0,128,"SQ_WAIT_INST_LDS",1073.000000,6547041240255,6547041371656
1,1,"Agent 1",1,21535,21535,163840,30,"void mul_mat_vec_q<(MType)18, 1, false, 1, false>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,80,0,128,"SQ_WAVE_CYCLES",493986557.000000,6547041240255,6547041371656
2,2,"Agent 1",1,21535,21535,163840,30,"void mul_mat_vec_q<(MType)18, 1, false, 1, false>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,80,0,128,"GRBM_GUI_ACTIVE",387646.000000,6547042648906,6547042777507
2,2,"Agent 1",1,21535,21535,163840,30,"void mul_mat_vec_q<(MType)18, 1, false, 1, false>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,80,0,128,"SQC_LDS_BANK_CONFLICT",0.00000000e+00,6547042648906,6547042777507
2,2,"Agent 1",1,21535,21535,163840,30,"void mul_mat_vec_q<(MType)18, 1, false, 1, false>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,80,0,128,"SQC_LDS_IDX_ACTIVE",51200.000000,6547042648906,6547042777507
2,2,"Agent 1",1,21535,21535,163840,30,"void mul_mat_vec_q<(MType)18, 1, false, 1, false>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,80,0,128,"SQ_INSTS_LDS",25600.000000,6547042648906,6547042777507
2,2,"Agent 1",1,21535,21535,163840,30,"void mul_mat_vec_q<(MType)18, 1, false, 1, false>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,80,0,128,"SQ_INST_CYCLES_VMEM",1807360.000000,6547042648906,6547042777507
2,2,"Agent 1",1,21535,21535,163840,30,"void mul_mat_vec_q<(MType)18, 1, false, 1, false>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,80,0,128,"SQ_WAIT_INST_LDS",1151.000000,6547042648906,6547042777507
2,2,"Agent 1",1,21535,21535,163840,30,"void mul_mat_vec_q<(MType)18, 1, false, 1, false>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,80,0,128,"SQ_WAVE_CYCLES",482543518.000000,6547042648906,6547042777507
3,3,"Agent 1",1,21535,21535,163840,30,"void mul_mat_vec_q<(MType)18, 1, false, 1, false>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,80,0,128,"GRBM_GUI_ACTIVE",382742.000000,6547042857508,6547042985869
3,3,"Agent 1",1,21535,21535,163840,30,"void mul_mat_vec_q<(MType)18, 1, false, 1, false>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,80,0,128,"SQC_LDS_BANK_CONFLICT",0.00000000e+00,6547042857508,6547042985869
3,3,"Agent 1",1,21535,21535,163840,30,"void mul_mat_vec_q<(MType)18, 1, false, 1, false>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,80,0,128,"SQC_LDS_IDX_ACTIVE",51200.000000,6547042857508,6547042985869
