variant,shape,K,N,batch,fused,ms_median,ms_p10,ms_p90,ms_min,ms_max,GBps_weight,GBps_total,regs,occ_blocks,stall_ratio,cycles_per_wave,valu_per_wave,lds_insts,lds_waits,tex_loads,bit_exact
V0,down,17408,5120,1,0,0.1396,0.1360,0.1418,0.1352,0.1514,164.6,164.8,76,64,0.7953,92988.5,6119.3,853,36,2.79,YES
C1,down,17408,5120,1,0,0.1419,0.1415,0.1449,0.1377,0.1534,162.0,162.2,81,56,0.7767,79529.9,5176.1,25429,1072,38.88,YES
C2,down,17408,5120,1,0,0.1417,0.1413,0.1448,0.1376,0.1530,162.2,162.5,81,56,0.7866,96400.3,6356.0,25429,1042,0.00,YES
C3,down,17408,5120,1,0,0.1434,0.1431,0.1464,0.1391,0.1624,160.3,160.6,81,56,0.7860,97548.3,6424.0,25429,1210,0.00,YES
C4,down,17408,5120,1,0,0.1389,0.1364,0.1403,0.1344,0.1672,165.4,165.7,76,64,0.7998,84724.1,5587.2,853,36,11.22,YES
V0,gateup,5120,17408,1,1,0.2486,0.2456,0.2568,0.2450,0.2646,184.8,185.1,33,64,0.6075,59411.5,3362.7,5641,25,0.04,YES
C1,gateup,5120,17408,1,1,0.2578,0.2546,0.2625,0.2541,0.2926,178.3,178.5,83,51,0.8165,54505.2,3213.0,55287,4293,62.01,YES
C2,gateup,5120,17408,1,1,0.2579,0.2548,0.2646,0.2541,0.2795,178.2,178.4,83,51,0.8157,61623.7,3640.7,55287,4619,2.69,YES
C3,gateup,5120,17408,1,1,0.2604,0.2571,0.2666,0.2566,0.3356,176.5,176.8,83,51,0.8181,56876.4,3356.7,55287,3848,54.82,YES
C4,gateup,5120,17408,1,1,0.2488,0.2457,0.2568,0.2453,0.2699,184.7,185.0,33,64,0.6079,55154.9,3101.9,5642,26,27.56,YES
