device=gfx1101 CUs=30 clock=2254 MHz

=== shape ffn_down_K17408_N5120 ===
bpc  batch            ms GB/s(weight)   GB/s(total)   workgrp   regs    occ
V0   1            0.1679        136.8         137.1        32     77     64
V0   2            0.2118        108.5         108.9        32     90     64
V0   4            0.2370         97.0          97.6        32     93     64
V0   8            0.2970         77.4          78.4        32     37     64
D1   1            0.2078        110.6         110.8        32     38     64
D1   2            0.1925        119.4         119.8        32     90     64
D1   4            0.2449         93.8          94.5        32     93     64
D1   8            0.3276         70.1          71.1        32     37     64
D2   1            0.2053        111.9         112.1        32     44     64
D2   2            0.2158        106.5         106.9        32     90     64
D2   4            0.2319         99.1          99.8        32     93     64
D2   8            0.3067         74.9          76.0        32     37     64
D3   1            0.2442         94.1          94.2        32     55     64
D3   2            0.1932        118.9         119.3        32     90     64
D3   4            0.2479         92.7          93.3        32     93     64
D3   8            0.3308         69.5          70.4        32     37     64

=== shape ffn_gateup_K5120_N17408 ===
bpc  batch            ms GB/s(weight)   GB/s(total)   workgrp   regs    occ
V0   1            0.3029        151.7         152.0        32     30     64 [fused-glu]
V0   2            0.2066        222.5         223.2        32     90     64
V0   4            0.2380        193.1         194.3        32     93     64
V0   8            0.2816        163.2         165.3        32     37     64
D1   1            0.3536        130.0         130.2        32     43     64 [fused-glu]
D1   2            0.2054        223.7         224.4        32     90     64
D1   4            0.2330        197.3         198.6        32     93     64
D1   8            0.2707        169.8         172.0        32     37     64
D2   1            0.4401        104.4         104.6        32     67     64 [fused-glu]
D2   2            0.1953        235.3         236.1        32     90     64
D2   4            0.2412        190.5         191.8        32     93     64
D2   8            0.2831        162.3         164.5        32     37     64
D3   1            0.4539        101.2         101.4        32    113     44 [fused-glu]
D3   2            0.2067        222.4         223.1        32     90     64
D3   4            0.2297        200.1         201.4        32     93     64
D3   8            0.2830        162.4         164.5        32     37     64
