device=gfx1101 CUs=30 clock=2254 MHz

=== shape ffn_down_K17408_N5120 ===
bpc  batch            ms GB/s(weight)   GB/s(total)   workgrp   regs    occ
V0   1            0.1972        116.5         116.7        32     77     64
V0   2            0.2188        105.0         105.4        32     90     64
V0   4            0.2389         96.2          96.9        32     93     64
V0   8            0.2970         77.4          78.5        32     37     64
D1   1            0.2043        112.5         112.7        32     38     64
D1   2            0.2090        110.0         110.3        32     90     64
D1   4            0.2414         95.2          95.8        32     93     64
D1   8            0.2944         78.0          79.1        32     37     64
D2   1            0.2196        104.6         104.8        32     44     64
D2   2            0.2080        110.5         110.8        32     90     64
D2   4            0.2193        104.8         105.5        32     93     64
D2   8            0.2955         77.8          78.9        32     37     64
D3   1            0.2460         93.4          93.6        32     55     64
D3   2            0.2160        106.4         106.7        32     90     64
D3   4            0.2369         97.0          97.7        32     93     64
D3   8            0.3420         67.2          68.1        32     37     64

=== shape ffn_gateup_K5120_N17408 ===
bpc  batch            ms GB/s(weight)   GB/s(total)   workgrp   regs    occ
V0   1            0.3180        144.5         144.8        32     30     64 [fused-glu]
V0   2            0.1998        230.0         230.8        32     90     64
V0   4            0.2326        197.6         198.9        32     93     64
V0   8            0.2676        171.8         174.0        32     37     64
D1   1            0.3594        127.9         128.1        32     43     64 [fused-glu]
D1   2            0.2048        224.4         225.1        32     90     64
D1   4            0.1942        236.6         238.1        32     93     64
D1   8            0.2802        164.0         166.2        32     37     64
D2   1            0.4454        103.2         103.3        32     67     64 [fused-glu]
D2   2            0.2078        221.2         221.9        32     90     64
D2   4            0.2439        188.4         189.7        32     93     64
D2   8            0.2626        175.0         177.3        32     37     64
D3   1            0.4498        102.2         102.3        32    113     44 [fused-glu]
D3   2            0.2039        225.4         226.1        32     90     64
D3   4            0.2133        215.4         216.8        32     93     64
D3   8            0.2821        162.9         165.1        32     37     64
