device=gfx1101 CUs=30 clock=2254 MHz

=== shape ffn_down_K17408_N5120 ===
bpc  batch            ms GB/s(weight)   GB/s(total)   workgrp   regs    occ
V0   1            0.1398        164.3         164.6        32     77     64
V0   2            0.1509        152.3         152.8        32     90     64
V0   4            0.1776        129.4         130.3        32     93     64
V0   8            0.2306         99.6         101.0        32     37     64
D1   1            0.1429        160.8         161.1        32     38     64
D1   2            0.1510        152.2         152.7        32     90     64
D1   4            0.1785        128.7         129.6        32     93     64
D1   8            0.2353         97.6          99.0        32     37     64
D2   1            0.1528        150.4         150.6        32     44     64
D2   2            0.1509        152.3         152.8        32     90     64
D2   4            0.1776        129.4         130.3        32     93     64
D2   8            0.2341         98.2          99.5        32     37     64
D3   1            0.1842        124.7         124.9        32     55     64
D3   2            0.1510        152.2         152.7        32     90     64
D3   4            0.1778        129.2         130.1        32     93     64
D3   8            0.2307         99.6         101.0        32     37     64

=== shape ffn_gateup_K5120_N17408 ===
bpc  batch            ms GB/s(weight)   GB/s(total)   workgrp   regs    occ
V0   1            0.2512        182.9         183.2        32     30     64 [fused-glu]
V0   2            0.1520        302.3         303.3        32     90     64
V0   4            0.1771        259.5         261.2        32     93     64
V0   8            0.2251        204.1         206.8        32     37     64
D1   1            0.2919        157.5         157.7        32     43     64 [fused-glu]
D1   2            0.1516        303.2         304.2        32     90     64
D1   4            0.1779        258.3         260.0        32     93     64
D1   8            0.2232        205.9         208.6        32     37     64
D2   1            0.3828        120.0         120.2        32     67     64 [fused-glu]
D2   2            0.1520        302.3         303.3        32     90     64
D2   4            0.1782        258.0         259.6        32     93     64
D2   8            0.2251        204.1         206.8        32     37     64
D3   1            0.3896        118.0         118.2        32    113     44 [fused-glu]
D3   2            0.1518        302.8         303.8        32     90     64
D3   4            0.1782        258.0         259.6        32     93     64
D3   8            0.2291        200.6         203.2        32     37     64
