variant,batch,bpc,shape,fused,ms_median,ms_min,ms_p10,ms_p90,ms_max,GBps_weight,GBps_total,VGPR,occ_blocks,wg,kloop_insns,vdot4_per_call,trips_per_thread,wave_issue_wait_pct,wave_dep_wait_pct,wave_cycles_median
V0,1,1,ffn_down,0,0.1398,0.1398,0.1398,0.1398,0.1398,164.3,164.6,77,64,32,417,8,17,78.29,14.46,483339605
V0,2,1,ffn_down,0,0.1509,0.1509,0.1509,0.1509,0.1509,152.3,152.8,90,64,32,417,8,17,NA,NA,NA
V0,4,1,ffn_down,0,0.1776,0.1776,0.1776,0.1776,0.1776,129.4,130.3,93,64,32,417,8,17,NA,NA,NA
V0,8,1,ffn_down,0,0.2306,0.2306,0.2306,0.2306,0.2306,99.6,101.0,37,64,32,417,8,17,NA,NA,NA
D1,1,2,ffn_down,0,0.1429,0.1429,0.1429,0.1429,0.1429,160.8,161.1,38,64,32,913,16,9,55.40,38.66,783135870
D1,2,2,ffn_down,0,0.1510,0.1510,0.1510,0.1510,0.1510,152.2,152.7,90,64,32,913,16,9,NA,NA,NA
D1,4,2,ffn_down,0,0.1785,0.1785,0.1785,0.1785,0.1785,128.7,129.6,93,64,32,913,16,9,NA,NA,NA
D1,8,2,ffn_down,0,0.2353,0.2353,0.2353,0.2353,0.2353,97.6,99.0,37,64,32,913,16,9,NA,NA,NA
D2,1,4,ffn_down,0,0.1528,0.1528,0.1528,0.1528,0.1528,150.4,150.6,44,64,32,1797,32,5,59.21,34.37,915111066
D2,2,4,ffn_down,0,0.1509,0.1509,0.1509,0.1509,0.1509,152.3,152.8,90,64,32,1797,32,5,NA,NA,NA
D2,4,4,ffn_down,0,0.1776,0.1776,0.1776,0.1776,0.1776,129.4,130.3,93,64,32,1797,32,5,NA,NA,NA
D2,8,4,ffn_down,0,0.2341,0.2341,0.2341,0.2341,0.2341,98.2,99.5,37,64,32,1797,32,5,NA,NA,NA
D3,1,8,ffn_down,0,0.1842,0.1842,0.1842,0.1842,0.1842,124.7,124.9,55,64,32,3565,64,3,68.61,24.91,660457016
D3,2,8,ffn_down,0,0.1510,0.1510,0.1510,0.1510,0.1510,152.2,152.7,90,64,32,3565,64,3,NA,NA,NA
D3,4,8,ffn_down,0,0.1778,0.1778,0.1778,0.1778,0.1778,129.2,130.1,93,64,32,3565,64,3,NA,NA,NA
D3,8,8,ffn_down,0,0.2307,0.2307,0.2307,0.2307,0.2307,99.6,101.0,37,64,32,3565,64,3,NA,NA,NA
V0,1,1,ffn_gateup,1,0.2512,0.2512,0.2512,0.2512,0.2512,182.9,183.2,30,64,32,NA,16,17,67.02,26.59,1033664129
V0,2,1,ffn_gateup,1,0.1520,0.1520,0.1520,0.1520,0.1520,302.3,303.3,90,64,32,NA,16,17,NA,NA,NA
V0,4,1,ffn_gateup,1,0.1771,0.1771,0.1771,0.1771,0.1771,259.5,261.2,93,64,32,NA,16,17,NA,NA,NA
V0,8,1,ffn_gateup,1,0.2251,0.2251,0.2251,0.2251,0.2251,204.1,206.8,37,64,32,NA,16,17,NA,NA,NA
D1,1,2,ffn_gateup,1,0.2919,0.2919,0.2919,0.2919,0.2919,157.5,157.7,43,64,32,NA,32,9,68.24,25.44,1209982858
D1,2,2,ffn_gateup,1,0.1516,0.1516,0.1516,0.1516,0.1516,303.2,304.2,90,64,32,NA,32,9,NA,NA,NA
D1,4,2,ffn_gateup,1,0.1779,0.1779,0.1779,0.1779,0.1779,258.3,260.0,93,64,32,NA,32,9,NA,NA,NA
D1,8,2,ffn_gateup,1,0.2232,0.2232,0.2232,0.2232,0.2232,205.9,208.6,37,64,32,NA,32,9,NA,NA,NA
D2,1,4,ffn_gateup,1,0.3828,0.3828,0.3828,0.3828,0.3828,120.0,120.2,67,64,32,NA,64,5,73.19,20.59,1596307941
D2,2,4,ffn_gateup,1,0.1520,0.1520,0.1520,0.1520,0.1520,302.3,303.3,90,64,32,NA,64,5,NA,NA,NA
D2,4,4,ffn_gateup,1,0.1782,0.1782,0.1782,0.1782,0.1782,258.0,259.6,93,64,32,NA,64,5,NA,NA,NA
D2,8,4,ffn_gateup,1,0.2251,0.2251,0.2251,0.2251,0.2251,204.1,206.8,37,64,32,NA,64,5,NA,NA,NA
D3,1,8,ffn_gateup,1,0.3896,0.3896,0.3896,0.3896,0.3896,118.0,118.2,113,44,32,NA,128,3,52.73,39.27,1234229128
D3,2,8,ffn_gateup,1,0.1518,0.1518,0.1518,0.1518,0.1518,302.8,303.8,90,64,32,NA,128,5,NA,NA,NA
D3,4,8,ffn_gateup,1,0.1782,0.1782,0.1782,0.1782,0.1782,258.0,259.6,93,64,32,NA,128,5,NA,NA,NA
D3,8,8,ffn_gateup,1,0.2291,0.2291,0.2291,0.2291,0.2291,200.6,203.2,37,64,32,NA,128,5,NA,NA,NA
