"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
2,2,"Agent 1",1,86959,86959,557056,19,"void mul_mat_vec_q_iq3<2, 1, true, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"GRBM_GUI_ACTIVE",831159.000000,9736651947268,9736652228990
2,2,"Agent 1",1,86959,86959,557056,19,"void mul_mat_vec_q_iq3<2, 1, true, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_ANY",348317935.000000,9736651947268,9736652228990
2,2,"Agent 1",1,86959,86959,557056,19,"void mul_mat_vec_q_iq3<2, 1, true, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_INST_ANY",801334219.000000,9736651947268,9736652228990
2,2,"Agent 1",1,86959,86959,557056,19,"void mul_mat_vec_q_iq3<2, 1, true, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAVE_CYCLES",1226186614.000000,9736651947268,9736652228990
3,3,"Agent 1",1,86959,86959,557056,19,"void mul_mat_vec_q_iq3<2, 1, true, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"GRBM_GUI_ACTIVE",825877.000000,9736654225767,9736654503290
3,3,"Agent 1",1,86959,86959,557056,19,"void mul_mat_vec_q_iq3<2, 1, true, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_ANY",308391071.000000,9736654225767,9736654503290
3,3,"Agent 1",1,86959,86959,557056,19,"void mul_mat_vec_q_iq3<2, 1, true, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_INST_ANY",825164472.000000,9736654225767,9736654503290
3,3,"Agent 1",1,86959,86959,557056,19,"void mul_mat_vec_q_iq3<2, 1, true, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAVE_CYCLES",1210067005.000000,9736654225767,9736654503290
4,4,"Agent 1",1,86959,86959,557056,19,"void mul_mat_vec_q_iq3<2, 1, true, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"GRBM_GUI_ACTIVE",822937.000000,9736654574450,9736654851933
4,4,"Agent 1",1,86959,86959,557056,19,"void mul_mat_vec_q_iq3<2, 1, true, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_ANY",308350676.000000,9736654574450,9736654851933
4,4,"Agent 1",1,86959,86959,557056,19,"void mul_mat_vec_q_iq3<2, 1, true, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_INST_ANY",824827533.000000,9736654574450,9736654851933
