"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"GRBM_GUI_ACTIVE",550961.000000,9735190195209,9735190384130
1,1,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_ANY",442901375.000000,9735190195209,9735190384130
1,1,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_INST_ANY",313941904.000000,9735190195209,9735190384130
1,1,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAVE_CYCLES",798760235.000000,9735190195209,9735190384130
2,2,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"GRBM_GUI_ACTIVE",575808.000000,9735191669377,9735191869779
2,2,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_ANY",329160223.000000,9735191669377,9735191869779
2,2,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_INST_ANY",542467580.000000,9735191669377,9735191869779
2,2,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAVE_CYCLES",930959355.000000,9735191669377,9735191869779
3,3,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"GRBM_GUI_ACTIVE",566544.000000,9735191929739,9735192125700
3,3,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_ANY",311573881.000000,9735191929739,9735192125700
3,3,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_INST_ANY",540992789.000000,9735191929739,9735192125700
3,3,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAVE_CYCLES",910858129.000000,9735191929739,9735192125700
4,4,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"GRBM_GUI_ACTIVE",569306.000000,9735192183501,9735192380342
4,4,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_ANY",308739000.000000,9735192183501,9735192380342
4,4,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_INST_ANY",546627861.000000,9735192183501,9735192380342
4,4,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAVE_CYCLES",913969914.000000,9735192183501,9735192380342
5,5,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"GRBM_GUI_ACTIVE",568128.000000,9735192436822,9735192633424
5,5,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_ANY",308140741.000000,9735192436822,9735192633424
5,5,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_INST_ANY",544000097.000000,9735192436822,9735192633424
5,5,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAVE_CYCLES",910603225.000000,9735192436822,9735192633424
6,6,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"GRBM_GUI_ACTIVE",573829.000000,9735192720744,9735192917945
6,6,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_ANY",321803512.000000,9735192720744,9735192917945
6,6,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_INST_ANY",535286813.000000,9735192720744,9735192917945
6,6,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAVE_CYCLES",916199154.000000,9735192720744,9735192917945
7,7,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"GRBM_GUI_ACTIVE",567684.000000,9735192995586,9735193192307
7,7,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_ANY",319555352.000000,9735192995586,9735193192307
7,7,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_INST_ANY",528828576.000000,9735192995586,9735193192307
7,7,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAVE_CYCLES",906805229.000000,9735192995586,9735193192307
8,8,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"GRBM_GUI_ACTIVE",570103.000000,9735193266068,9735193463029
8,8,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_ANY",320355520.000000,9735193266068,9735193463029
8,8,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_INST_ANY",530780593.000000,9735193266068,9735193463029
8,8,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAVE_CYCLES",909788396.000000,9735193266068,9735193463029
9,9,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"GRBM_GUI_ACTIVE",432660.000000,9735193534549,9735193676750
9,9,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_ANY",152679074.000000,9735193534549,9735193676750
9,9,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_INST_ANY",352618043.000000,9735193534549,9735193676750
9,9,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAVE_CYCLES",541466678.000000,9735193534549,9735193676750
10,10,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"GRBM_GUI_ACTIVE",422244.000000,9735193752081,9735193894362
10,10,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_ANY",150780260.000000,9735193752081,9735193894362
10,10,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_INST_ANY",353446434.000000,9735193752081,9735193894362
10,10,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAVE_CYCLES",540394911.000000,9735193752081,9735193894362
11,11,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"GRBM_GUI_ACTIVE",421359.000000,9735193970082,9735194112523
11,11,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_ANY",152037712.000000,9735193970082,9735194112523
11,11,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_INST_ANY",353049190.000000,9735193970082,9735194112523
11,11,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAVE_CYCLES",541281786.000000,9735193970082,9735194112523
12,12,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"GRBM_GUI_ACTIVE",599479.000000,9735194195403,9735194401605
12,12,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_ANY",275285251.000000,9735194195403,9735194401605
12,12,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_INST_ANY",626017100.000000,9735194195403,9735194401605
12,12,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAVE_CYCLES",961838270.000000,9735194195403,9735194401605
13,13,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"GRBM_GUI_ACTIVE",741574.000000,9735194474645,9735194733447
13,13,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_ANY",841193555.000000,9735194474645,9735194733447
13,13,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_INST_ANY",187478719.000000,9735194474645,9735194733447
13,13,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAVE_CYCLES",1081602300.000000,9735194474645,9735194733447
14,14,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"GRBM_GUI_ACTIVE",735526.000000,9735194804927,9735195058729
14,14,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_ANY",749574903.000000,9735194804927,9735195058729
14,14,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_INST_ANY",359761309.000000,9735194804927,9735195058729
14,14,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAVE_CYCLES",1164972074.000000,9735194804927,9735195058729
15,15,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"GRBM_GUI_ACTIVE",453534.000000,9735195147730,9735195301370
15,15,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_ANY",248961224.000000,9735195147730,9735195301370
15,15,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_INST_ANY",358379488.000000,9735195147730,9735195301370
15,15,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAVE_CYCLES",648841368.000000,9735195147730,9735195301370
16,16,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"GRBM_GUI_ACTIVE",574699.000000,9735195372411,9735195571252
16,16,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_ANY",302582008.000000,9735195372411,9735195571252
16,16,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_INST_ANY",567233092.000000,9735195372411,9735195571252
16,16,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAVE_CYCLES",929087136.000000,9735195372411,9735195571252
17,17,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"GRBM_GUI_ACTIVE",575168.000000,9735195642653,9735195840734
17,17,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_ANY",317931329.000000,9735195642653,9735195840734
17,17,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_INST_ANY",553081741.000000,9735195642653,9735195840734
17,17,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAVE_CYCLES",930345993.000000,9735195642653,9735195840734
18,18,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"GRBM_GUI_ACTIVE",568876.000000,9735195909574,9735196105256
18,18,"Agent 1",1,86913,86913,163840,18,"void mul_mat_vec_q_iq3<4, 1, false, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,48,0,128,"SQ_WAIT_ANY",317001183.000000,9735195909574,9735196105256
