"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
2,2,"Agent 1",1,86930,86930,557056,26,"void mul_mat_vec_q_iq3<1, 1, true, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,32,0,128,"GRBM_GUI_ACTIVE",704247.000000,9736128370210,9736128609812
2,2,"Agent 1",1,86930,86930,557056,26,"void mul_mat_vec_q_iq3<1, 1, true, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,32,0,128,"SQ_WAIT_ANY",299113831.000000,9736128370210,9736128609812
2,2,"Agent 1",1,86930,86930,557056,26,"void mul_mat_vec_q_iq3<1, 1, true, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,32,0,128,"SQ_WAIT_INST_ANY",676747355.000000,9736128370210,9736128609812
2,2,"Agent 1",1,86930,86930,557056,26,"void mul_mat_vec_q_iq3<1, 1, true, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,32,0,128,"SQ_WAVE_CYCLES",1041949129.000000,9736128370210,9736128609812
3,3,"Agent 1",1,86930,86930,557056,26,"void mul_mat_vec_q_iq3<1, 1, true, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,32,0,128,"GRBM_GUI_ACTIVE",701180.000000,9736129863981,9736130102143
3,3,"Agent 1",1,86930,86930,557056,26,"void mul_mat_vec_q_iq3<1, 1, true, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,32,0,128,"SQ_WAIT_ANY",274848294.000000,9736129863981,9736130102143
3,3,"Agent 1",1,86930,86930,557056,26,"void mul_mat_vec_q_iq3<1, 1, true, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,32,0,128,"SQ_WAIT_INST_ANY",692881628.000000,9736129863981,9736130102143
3,3,"Agent 1",1,86930,86930,557056,26,"void mul_mat_vec_q_iq3<1, 1, true, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,32,0,128,"SQ_WAVE_CYCLES",1033802803.000000,9736129863981,9736130102143
4,4,"Agent 1",1,86930,86930,557056,26,"void mul_mat_vec_q_iq3<1, 1, true, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,32,0,128,"GRBM_GUI_ACTIVE",697038.000000,9736130164023,9736130402145
4,4,"Agent 1",1,86930,86930,557056,26,"void mul_mat_vec_q_iq3<1, 1, true, 1>(void const*, void const*, void const*, float*, unsigned int, unsigned int, unsigned int, unsigned int)",32,512,0,32,0,128,"SQ_WAIT_ANY",275831722.000000,9736130164023,9736130402145
