round,shape,variant,ms,gbps_weight
0,ffn_down,V0,0.1416,162.30
0,ffn_down,E1,0.1395,164.70
0,ffn_down,E2,0.1416,162.30
0,ffn_down,E3,0.1410,162.90
0,ffn_gateup,V0,0.2484,185.00
0,ffn_gateup,E1,0.2492,184.40
0,ffn_gateup,E2,0.2510,183.10
0,ffn_gateup,E3,0.2507,183.30
1,ffn_down,V0,0.1396,164.60
1,ffn_down,E1,0.1394,164.80
1,ffn_down,E2,0.1417,162.20
1,ffn_down,E3,0.1411,162.90
1,ffn_gateup,V0,0.2484,185.00
1,ffn_gateup,E1,0.2493,184.40
1,ffn_gateup,E2,0.2512,183.00
1,ffn_gateup,E3,0.2517,182.60
2,ffn_down,V0,0.1396,164.60
2,ffn_down,E1,0.1395,164.70
2,ffn_down,E2,0.1416,162.30
2,ffn_down,E3,0.1410,163.00
2,ffn_gateup,V0,0.2487,184.80
2,ffn_gateup,E1,0.2490,184.50
2,ffn_gateup,E2,0.2514,182.80
2,ffn_gateup,E3,0.2515,182.70
3,ffn_down,V0,0.1396,164.60
3,ffn_down,E1,0.1395,164.70
3,ffn_down,E2,0.1415,162.40
3,ffn_down,E3,0.1411,162.90
3,ffn_gateup,V0,0.2483,185.10
3,ffn_gateup,E1,0.2491,184.50
3,ffn_gateup,E2,0.2515,182.70
3,ffn_gateup,E3,0.2513,182.90
4,ffn_down,V0,0.1396,164.60
4,ffn_down,E1,0.1395,164.70
4,ffn_down,E2,0.1415,162.40
4,ffn_down,E3,0.1411,162.90
4,ffn_gateup,V0,0.2493,184.40
4,ffn_gateup,E1,0.2486,184.80
4,ffn_gateup,E2,0.2510,183.10
4,ffn_gateup,E3,0.2526,181.90
5,ffn_down,V0,0.1396,164.60
5,ffn_down,E1,0.1396,164.60
5,ffn_down,E2,0.1415,162.40
5,ffn_down,E3,0.1411,162.90
5,ffn_gateup,V0,0.2487,184.80
5,ffn_gateup,E1,0.2497,184.10
5,ffn_gateup,E2,0.2511,183.00
5,ffn_gateup,E3,0.2511,183.00
6,ffn_down,V0,0.1397,164.50
6,ffn_down,E1,0.1394,164.80
6,ffn_down,E2,0.1416,162.30
6,ffn_down,E3,0.1411,162.80
6,ffn_gateup,V0,0.2486,184.90
6,ffn_gateup,E1,0.2494,184.30
6,ffn_gateup,E2,0.2521,182.30
6,ffn_gateup,E3,0.2516,182.60
7,ffn_down,V0,0.1396,164.60
7,ffn_down,E1,0.1396,164.60
7,ffn_down,E2,0.1415,162.40
7,ffn_down,E3,0.1410,162.90
7,ffn_gateup,V0,0.2485,185.00
7,ffn_gateup,E1,0.2490,184.60
7,ffn_gateup,E2,0.2512,182.90
7,ffn_gateup,E3,0.2510,183.10
