# == ffn_down k=5120 m=17408 type=iq3_xxs nbytes=34119680
shape,n,path,ms_min,ms_avg,eff_GBps,GFLOPS,max_abs_vs_cpu,max_rel_vs_cpu
ffn_down,1,MMVQ,0.16016,0.16215,213.03,1112.98,0.471189,195.393
ffn_down,2,MMVQ,0.17143,0.17254,199.03,2079.61,0.485094,109.053
ffn_down,4,MMVQ,0.19460,0.19714,175.33,3664.13,0.547759,142.269
ffn_down,5,MMVQ,0.20803,0.21012,164.01,4284.37,0.595061,318.592
ffn_down,8,MMVQ,0.24024,0.24316,142.02,5935.90,0.531096,399.465
ffn_down,9,MMQ,0.25393,0.25650,134.37,6317.94,0.558186,254.964
ffn_down,12,MMQ,0.25358,0.25739,134.55,8435.62,0.596142,527.527
ffn_down,16,MMQ,0.25539,0.25704,133.60,11167.60,0.569229,365.326
ffn_down,32,MMQ,0.31707,0.32095,107.61,17990.52,0.574379,10812.7
ffn_down,64,MMQ,0.45583,0.45821,74.85,25027.88,0.57507,105912
# == gateup k=17408 m=5120 type=iq3_xxs nbytes=34119680
shape,n,path,ms_min,ms_avg,eff_GBps,GFLOPS,max_abs_vs_cpu,max_rel_vs_cpu
gateup,1,MMVQ,0.15750,0.16341,216.64,1131.81,0.813026,41.9405
gateup,2,MMVQ,0.16937,0.17190,201.45,2104.95,0.808208,128.871
gateup,4,MMVQ,0.19603,0.19854,174.05,3637.34,0.920868,1036.71
gateup,5,MMVQ,0.20921,0.21232,163.09,4260.34,0.924721,63.4469
gateup,8,MMVQ,0.31450,0.31622,108.49,4534.31,0.938198,86.6617
gateup,9,MMQ,0.31820,0.32084,107.23,5041.83,0.933311,92.3374
gateup,12,MMQ,0.32005,0.32153,106.61,6683.52,0.929878,674.642
gateup,16,MMQ,0.32048,0.32211,106.47,8899.66,1.00844,162.915
gateup,32,MMQ,0.37813,0.38240,90.23,15085.23,1.03482,988.769
gateup,64,MMQ,0.62152,0.63017,54.90,18355.96,0.975269,1251.73
# == ffn_down_f16_ctrl k=5120 m=17408 type=f16 nbytes=178257920
shape,n,path,ms_min,ms_avg,eff_GBps,GFLOPS,max_abs_vs_cpu,max_rel_vs_cpu
ffn_down_f16_ctrl,4,MMVQ,0.37216,0.37493,478.98,1915.91,0.000221252,0.168843
