Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID
0,1,1,121619,121619,7680,256,0,0,16,0,128,32,"__amd_rocclr_fillBufferAligned.kd",6995293778957,6995295503765,0
1,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996106378408,6996106382448,0
2,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996106414778,6996106417618,0
3,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996106485268,6996106488348,0
4,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996117692211,6996117695251,0
5,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996117726381,6996117729221,0
6,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996117801652,6996117804612,0
7,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996129488998,6996129492158,0
8,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996129522818,6996129525658,0
9,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996129593798,6996129596758,0
10,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996140978002,6996140981242,0
11,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996141012172,6996141015132,0
12,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996151880334,6996151883854,0
13,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996151916494,6996151919694,0
14,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996151993795,6996151996955,0
15,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996163009287,6996163012887,0
16,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996163046067,6996163048947,0
17,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996163120948,6996163124028,0
18,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996174196149,6996174199269,0
19,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996174233959,6996174236759,0
20,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996174309729,6996174312769,0
21,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996186245866,6996186249146,0
22,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996186280696,6996186283696,0
23,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996196655565,6996196658725,0
24,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996196690725,6996196693605,0
25,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996196765645,6996196768725,0
26,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996208320930,6996208324130,0
27,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996208355930,6996208358810,0
28,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996208432211,6996208435411,0
29,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996219729814,6996219732854,0
30,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996219763804,6996219766604,0
31,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996219835775,6996219838415,0
32,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996231548280,6996231550920,0
33,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996231581380,6996231584020,0
34,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996240412939,6996240415539,0
35,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996240446709,6996240449189,0
36,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996240521659,6996240524299,0
37,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996250448725,6996250451725,0
38,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996250484315,6996250486875,0
39,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996250554636,6996250557436,0
40,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996259954538,6996259957178,0
41,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996259987929,6996259990449,0
42,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996260064599,6996260067359,0
43,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996271625856,6996271628896,0
44,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996271658736,6996271661456,0
45,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996280632166,6996280634806,0
46,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996280665876,6996280668396,0
47,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996280738307,6996280740987,0
48,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996290423771,6996290426411,0
49,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996290457621,6996290460101,0
50,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996290532212,6996290534892,0
51,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996300270696,6996300273336,0
52,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996300304427,6996300306947,0
53,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996300377477,6996300380157,0
54,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996310954198,6996310956878,0
55,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996310987518,6996310990158,0
56,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996320227606,6996320230246,0
57,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996320260797,6996320263277,0
58,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996320333297,6996320335977,0
59,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996330759264,6996330761824,0
60,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996330793044,6996330795564,0
61,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996330864024,6996330866864,0
62,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996340943728,6996340946248,0
63,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996340976489,6996340978929,0
64,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996341048629,6996341051229,0
65,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996352349061,6996352352061,0
66,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996352383651,6996352386371,0
67,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996361938802,6996361941682,0
68,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996361973462,6996361975982,0
69,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996362044593,6996362047273,0
70,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996373152003,6996373154603,0
71,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996373186764,6996373189244,0
72,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996373258914,6996373261594,0
73,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996384357789,6996384360709,0
74,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996384392159,6996384394719,0
75,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996384464269,6996384466989,0
76,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996396256894,6996396259974,0
77,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996396293005,6996396295765,0
78,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996405106751,6996405109391,0
79,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996405140801,6996405143321,0
80,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996405214392,6996405217072,0
81,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996415518498,6996415521178,0
82,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996415553308,6996415555788,0
83,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996415627408,6996415630128,0
84,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996428997574,6996429000134,0
85,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996429030844,6996429033284,0
86,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996429100724,6996429103404,0
87,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996442876412,6996442879132,0
88,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996442909663,6996442912263,0
89,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996452336073,6996452338713,0
90,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996452369413,6996452371893,0
91,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996452442193,6996452444833,0
92,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996463134376,6996463136936,0
93,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996463168376,6996463170976,0
94,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996463247567,6996463250207,0
95,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996473664068,6996473666668,0
96,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996473697458,6996473699898,0
97,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996473770899,6996473773819,0
98,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996484669193,6996484671873,0
99,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996484702283,6996484704963,0
100,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996495399406,6996495402006,0
101,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996495432906,6996495435386,0
102,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996495505596,6996495508236,0
103,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996508620234,6996508622874,0
104,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996508655054,6996508657534,0
105,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996508725844,6996508728484,0
106,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996519280501,6996519283061,0
107,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996519313561,6996519316001,0
108,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996519383741,6996519386421,0
109,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996535178344,6996535181024,0
110,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996535211914,6996535214554,0
111,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996550287723,6996550290323,0
